Time    PM2.5    PM10    O3    CO    SO2    NO2 
2021010100  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2021010101  25.0  49.0  6.0  0.6  4.0  66.0 
2021010102  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2021010103  -999.0  -999.0  2.0  0.8  5.0  67.0 
2021010104  20.0  53.0  2.0  0.8  5.0  63.0 
2021010105  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2021010106  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2021010107  23.0  51.0  2.0  0.8  5.0  68.0 
2021010108  20.0  49.0  4.0  0.8  6.0  61.0 
2021010109  31.0  66.0  13.0  0.8  11.0  55.0 
2021010110  35.0  78.0  21.0  1.3  25.0  50.0 
2021010111  42.0  82.0  29.0  1.2  25.0  50.0 
2021010112  39.0  79.0  36.0  1.3  18.0  -999.0 
2021010113  41.0  77.0  47.0  1.2  -999.0  42.0 
2021010114  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2021010115  41.0  70.0  41.0  1.1  18.0  41.0 
2021010116  -999.0  -999.0  49.0  0.8  13.0  34.0 
2021010117  20.0  46.0  40.0  0.8  14.0  39.0 
2021010118  31.0  59.0  30.0  0.7  11.0  44.0 
2021010119  27.0  55.0  13.0  0.8  9.0  59.0 
2021010120  31.0  59.0  7.0  0.7  7.0  70.0 
2021010121  35.0  58.0  6.0  0.7  5.0  69.0 
2021010122  32.0  58.0  3.0  0.7  4.0  71.0 
2021010123  34.0  63.0  2.0  0.9  3.0  75.0 
2021010200  32.0  73.0  2.0  0.9  3.0  73.0 
2021010201  37.0  77.0  2.0  0.8  2.0  70.0 
2021010202  40.0  79.0  2.0  0.7  2.0  66.0 
2021010203  36.0  71.0  2.0  0.7  2.0  66.0 
2021010204  36.0  65.0  2.0  0.7  2.0  60.0 
2021010205  36.0  69.0  1.0  0.6  2.0  61.0 
2021010206  34.0  58.0  1.0  0.7  2.0  58.0 
2021010207  34.0  61.0  2.0  0.8  3.0  64.0 
2021010208  34.0  59.0  2.0  0.9  3.0  59.0 
2021010209  36.0  57.0  3.0  0.8  4.0  67.0 
2021010210  40.0  73.0  8.0  0.7  9.0  72.0 
2021010211  48.0  74.0  34.0  0.5  8.0  43.0 
2021010212  47.0  72.0  43.0  0.6  7.0  45.0 
2021010213  50.0  75.0  47.0  0.6  7.0  42.0 
2021010214  45.0  69.0  44.0  0.5  6.0  47.0 
2021010215  47.0  85.0  38.0  0.7  9.0  61.0 
2021010216  62.0  106.0  25.0  0.9  14.0  73.0 
2021010217  66.0  112.0  22.0  1.1  14.0  79.0 
2021010218  50.0  88.0  30.0  0.8  10.0  68.0 
2021010219  47.0  92.0  18.0  0.8  5.0  79.0 
2021010220  61.0  110.0  16.0  0.7  6.0  84.0 
2021010221  61.0  107.0  34.0  0.6  5.0  56.0 
2021010222  60.0  99.0  40.0  0.7  5.0  47.0 
2021010223  73.0  108.0  30.0  0.6  6.0  54.0 
2021010300  75.0  105.0  18.0  0.7  6.0  72.0 
2021010301  75.0  116.0  42.0  0.5  4.0  46.0 
2021010302  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2021010303  61.0  90.0  38.0  0.5  3.0  42.0 
2021010304  73.0  87.0  30.0  0.7  3.0  49.0 
2021010305  76.0  104.0  37.0  0.6  3.0  40.0 
2021010306  72.0  89.0  53.0  0.4  2.0  23.0 
2021010307  55.0  72.0  55.0  0.4  2.0  19.0 
2021010308  52.0  67.0  20.0  0.5  1.0  50.0 
2021010309  61.0  76.0  15.0  1.1  5.0  66.0 
2021010310  83.0  124.0  22.0  1.1  7.0  66.0 
2021010311  103.0  144.0  35.0  0.8  7.0  58.0 
2021010312  86.0  125.0  80.0  0.4  5.0  15.0 
2021010313  31.0  59.0  82.0  0.5  4.0  18.0 
2021010314  36.0  64.0  79.0  0.5  4.0  19.0 
2021010315  33.0  63.0  69.0  0.6  5.0  34.0 
2021010316  43.0  74.0  60.0  0.6  5.0  46.0 
2021010317  39.0  71.0  52.0  0.6  4.0  47.0 
2021010318  34.0  80.0  36.0  0.6  3.0  60.0 
2021010319  37.0  82.0  33.0  0.6  2.0  59.0 
2021010320  33.0  75.0  46.0  0.5  3.0  36.0 
2021010321  32.0  63.0  48.0  0.4  2.0  26.0 
2021010322  24.0  64.0  46.0  0.3  3.0  24.0 
2021010323  27.0  57.0  40.0  0.3  1.0  28.0 
2021010400  20.0  50.0  41.0  0.4  3.0  27.0 
2021010401  27.0  55.0  39.0  0.4  1.0  27.0 
2021010402  20.0  48.0  29.0  0.5  1.0  34.0 
2021010403  25.0  49.0  30.0  0.5  1.0  35.0 
2021010404  26.0  61.0  37.0  0.7  2.0  27.0 
2021010405  24.0  54.0  33.0  0.7  4.0  28.0 
2021010406  30.0  62.0  23.0  0.6  5.0  34.0 
2021010407  35.0  72.0  18.0  0.6  5.0  44.0 
2021010408  32.0  62.0  14.0  0.6  4.0  51.0 
2021010409  28.0  59.0  5.0  0.7  3.0  66.0 
2021010410  36.0  80.0  4.0  0.8  5.0  72.0 
2021010411  42.0  77.0  4.0  0.8  7.0  74.0 
2021010412  47.0  103.0  4.0  0.8  9.0  76.0 
2021010413  58.0  113.0  9.0  0.8  7.0  80.0 
2021010414  52.0  102.0  14.0  0.7  5.0  75.0 
2021010415  49.0  101.0  35.0  0.4  3.0  49.0 
2021010416  31.0  68.0  32.0  0.4  2.0  54.0 
2021010417  32.0  70.0  7.0  0.6  3.0  89.0 
2021010418  53.0  114.0  -999.0  0.9  5.0  98.0 
2021010419  53.0  119.0  -999.0  1.0  5.0  94.0 
2021010420  48.0  105.0  -999.0  0.9  5.0  85.0 
2021010421  42.0  94.0  -999.0  0.6  4.0  78.0 
2021010422  46.0  90.0  1.0  0.4  3.0  68.0 
2021010423  45.0  80.0  -999.0  0.5  3.0  72.0 
2021010500  44.0  89.0  -999.0  0.5  4.0  72.0 
2021010501  44.0  84.0  1.0  0.4  3.0  70.0 
2021010502  40.0  72.0  4.0  0.4  3.0  64.0 
2021010503  38.0  64.0  21.0  0.3  2.0  43.0 
2021010504  31.0  58.0  32.0  0.3  2.0  32.0 
2021010505  27.0  58.0  20.0  0.3  2.0  42.0 
2021010506  30.0  57.0  38.0  0.5  1.0  20.0 
2021010507  62.0  80.0  40.0  0.8  3.0  18.0 
2021010508  113.0  140.0  30.0  1.1  2.0  29.0 
2021010509  143.0  171.0  28.0  1.1  1.0  35.0 
2021010510  140.0  164.0  37.0  1.0  2.0  33.0 
2021010511  117.0  137.0  40.0  1.0  3.0  36.0 
2021010512  105.0  134.0  45.0  0.8  1.0  30.0 
2021010513  95.0  120.0  44.0  0.7  3.0  25.0 
2021010514  72.0  100.0  43.0  0.7  3.0  26.0 
2021010515  54.0  82.0  44.0  0.5  1.0  23.0 
2021010516  29.0  60.0  46.0  0.4  3.0  22.0 
2021010517  19.0  48.0  48.0  0.3  2.0  20.0 
2021010518  14.0  33.0  39.0  0.3  2.0  30.0 
2021010519  19.0  35.0  33.0  0.4  1.0  33.0 
2021010520  19.0  39.0  33.0  0.4  2.0  36.0 
2021010521  19.0  38.0  34.0  0.3  1.0  32.0 
2021010522  18.0  46.0  32.0  0.3  3.0  31.0 
2021010523  18.0  46.0  29.0  0.4  1.0  35.0 
2021010600  17.0  41.0  31.0  0.3  1.0  35.0 
2021010601  15.0  38.0  31.0  0.2  3.0  32.0 
2021010602  11.0  37.0  38.0  0.2  1.0  25.0 
2021010603  13.0  38.0  42.0  0.2  1.0  18.0 
2021010604  14.0  37.0  32.0  0.2  3.0  27.0 
2021010605  18.0  46.0  21.0  0.4  3.0  36.0 
2021010606  21.0  47.0  22.0  0.4  3.0  31.0 
2021010607  32.0  54.0  10.0  0.4  3.0  43.0 
2021010608  34.0  60.0  6.0  0.5  2.0  51.0 
2021010609  38.0  68.0  10.0  0.5  2.0  48.0 
2021010610  39.0  68.0  22.0  0.5  2.0  38.0 
2021010611  41.0  77.0  28.0  0.5  3.0  34.0 
2021010612  40.0  74.0  30.0  0.5  3.0  38.0 
2021010613  42.0  80.0  32.0  0.8  3.0  46.0 
2021010614  48.0  86.0  50.0  1.0  4.0  37.0 
2021010615  57.0  85.0  69.0  0.6  2.0  27.0 
2021010616  66.0  88.0  63.0  0.5  1.0  24.0 
2021010617  55.0  84.0  58.0  0.5  2.0  26.0 
2021010618  57.0  80.0  52.0  0.4  2.0  27.0 
2021010619  51.0  78.0  52.0  0.5  3.0  22.0 
2021010620  62.0  82.0  48.0  0.5  2.0  23.0 
2021010621  63.0  94.0  46.0  0.6  3.0  23.0 
2021010622  67.0  92.0  44.0  0.6  2.0  28.0 
2021010623  68.0  104.0  39.0  0.7  3.0  30.0 
2021010700  77.0  127.0  32.0  0.6  3.0  35.0 
2021010701  69.0  131.0  20.0  0.6  2.0  43.0 
2021010702  51.0  139.0  32.0  0.4  1.0  23.0 
2021010703  29.0  135.0  36.0  0.3  3.0  14.0 
2021010704  22.0  159.0  37.0  0.2  1.0  11.0 
2021010705  20.0  187.0  36.0  0.3  3.0  11.0 
2021010706  17.0  202.0  36.0  0.4  1.0  12.0 
2021010707  13.0  192.0  31.0  0.3  1.0  16.0 
2021010708  15.0  177.0  37.0  0.2  3.0  14.0 
2021010709  15.0  165.0  42.0  0.2  1.0  9.0 
2021010710  15.0  146.0  43.0  0.2  1.0  10.0 
2021010711  12.0  122.0  47.0  0.3  2.0  9.0 
2021010712  14.0  114.0  51.0  0.3  4.0  7.0 
2021010713  15.0  117.0  52.0  0.3  3.0  7.0 
2021010714  18.0  101.0  56.0  0.2  2.0  4.0 
2021010715  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2021010716  14.0  89.0  59.0  0.1  1.0  5.0 
2021010717  11.0  70.0  54.0  0.1  3.0  6.0 
2021010718  12.0  67.0  48.0  0.2  3.0  9.0 
2021010719  15.0  70.0  47.0  0.2  3.0  9.0 
2021010720  14.0  68.0  43.0  0.2  3.0  15.0 
2021010721  14.0  68.0  42.0  0.3  1.0  14.0 
2021010722  20.0  82.0  42.0  0.3  2.0  11.0 
2021010723  17.0  74.0  38.0  0.2  2.0  13.0 
2021010800  18.0  77.0  38.0  0.2  2.0  14.0 
2021010801  20.0  80.0  40.0  0.3  3.0  13.0 
2021010802  26.0  75.0  37.0  0.4  3.0  15.0 
2021010803  24.0  68.0  29.0  1.0  4.0  21.0 
2021010804  24.0  74.0  27.0  1.2  5.0  24.0 
2021010805  23.0  76.0  27.0  1.0  5.0  24.0 
2021010806  24.0  72.0  30.0  0.4  2.0  17.0 
2021010807  21.0  64.0  28.0  0.3  1.0  15.0 
2021010808  20.0  71.0  14.0  0.3  3.0  34.0 
2021010809  20.0  68.0  31.0  0.3  3.0  24.0 
2021010810  20.0  71.0  42.0  0.2  2.0  14.0 
2021010811  24.0  76.0  46.0  0.2  1.0  14.0 
2021010812  21.0  74.0  53.0  0.2  1.0  8.0 
2021010813  22.0  69.0  60.0  0.1  2.0  -999.0 
2021010814  22.0  82.0  -999.0  0.3  2.0  6.0 
2021010815  22.0  80.0  -999.0  0.2  3.0  5.0 
2021010816  19.0  66.0  57.0  0.2  2.0  3.0 
2021010817  16.0  64.0  50.0  0.3  3.0  9.0 
2021010818  17.0  59.0  43.0  0.3  2.0  15.0 
2021010819  20.0  63.0  34.0  0.3  2.0  20.0 
2021010820  19.0  58.0  11.0  0.6  3.0  47.0 
2021010821  21.0  66.0  4.0  0.7  5.0  57.0 
2021010822  23.0  71.0  3.0  0.9  5.0  60.0 
2021010823  31.0  82.0  2.0  0.6  4.0  60.0 
2021010900  26.0  72.0  2.0  0.6  4.0  58.0 
2021010901  23.0  71.0  2.0  0.5  2.0  62.0 
2021010902  24.0  61.0  2.0  0.5  2.0  61.0 
2021010903  26.0  70.0  2.0  0.5  3.0  66.0 
2021010904  26.0  75.0  2.0  0.4  2.0  56.0 
2021010905  21.0  57.0  2.0  0.4  1.0  59.0 
2021010906  25.0  62.0  2.0  0.5  2.0  59.0 
2021010907  37.0  70.0  2.0  0.6  2.0  60.0 
2021010908  28.0  74.0  2.0  0.6  2.0  60.0 
2021010909  27.0  78.0  5.0  0.8  4.0  70.0 
2021010910  32.0  93.0  19.0  0.6  5.0  51.0 
2021010911  28.0  89.0  45.0  0.4  4.0  22.0 
2021010912  20.0  72.0  52.0  0.3  2.0  13.0 
2021010913  19.0  74.0  62.0  0.3  1.0  7.0 
2021010914  16.0  62.0  66.0  0.2  1.0  6.0 
2021010915  17.0  52.0  66.0  0.2  1.0  9.0 
2021010916  16.0  53.0  63.0  0.3  1.0  12.0 
