Time    PM2.5    PM10    O3    CO    SO2    NO2 
2020010100  24.0  50.0  10.0  0.8  5.0  61.0 
2020010101  23.0  58.0  14.0  0.8  5.0  58.0 
2020010102  22.0  50.0  15.0  0.8  5.0  56.0 
2020010103  29.0  52.0  14.0  0.8  5.0  56.0 
2020010104  30.0  48.0  14.0  0.8  5.0  52.0 
2020010105  28.0  51.0  20.0  0.8  5.0  48.0 
2020010106  26.0  49.0  17.0  0.8  5.0  48.0 
2020010107  22.0  37.0  14.0  0.8  5.0  52.0 
2020010108  25.0  46.0  22.0  0.9  5.0  47.0 
2020010109  22.0  39.0  26.0  1.0  6.0  46.0 
2020010110  17.0  41.0  31.0  0.9  6.0  43.0 
2020010111  22.0  44.0  39.0  0.9  7.0  40.0 
2020010112  21.0  50.0  45.0  0.9  8.0  39.0 
2020010113  22.0  46.0  48.0  0.9  8.0  42.0 
2020010114  26.0  53.0  49.0  0.9  8.0  44.0 
2020010115  27.0  65.0  57.0  0.9  8.0  45.0 
2020010116  31.0  56.0  45.0  0.9  8.0  54.0 
2020010117  33.0  64.0  51.0  0.9  8.0  50.0 
2020010118  32.0  60.0  44.0  0.9  8.0  55.0 
2020010119  34.0  63.0  51.0  0.8  6.0  48.0 
2020010120  31.0  63.0  56.0  0.8  5.0  44.0 
2020010121  25.0  55.0  48.0  0.8  5.0  50.0 
2020010122  31.0  58.0  52.0  0.7  5.0  48.0 
2020010123  27.0  51.0  32.0  0.8  5.0  61.0 
2020010200  27.0  52.0  15.0  0.8  6.0  76.0 
2020010201  28.0  67.0  27.0  0.8  6.0  63.0 
2020010202  29.0  48.0  26.0  0.8  5.0  60.0 
2020010203  27.0  47.0  13.0  0.9  5.0  69.0 
2020010204  31.0  48.0  11.0  1.1  7.0  71.0 
2020010205  40.0  70.0  10.0  1.2  8.0  67.0 
2020010206  48.0  71.0  10.0  1.1  8.0  61.0 
2020010207  39.0  61.0  10.0  1.0  8.0  57.0 
2020010208  36.0  62.0  11.0  1.1  8.0  56.0 
2020010209  38.0  63.0  13.0  1.0  8.0  53.0 
2020010210  37.0  55.0  14.0  1.1  9.0  55.0 
2020010211  35.0  59.0  18.0  1.2  10.0  58.0 
2020010212  46.0  75.0  17.0  1.2  11.0  63.0 
2020010213  44.0  61.0  16.0  1.2  12.0  66.0 
2020010214  44.0  68.0  18.0  1.1  12.0  64.0 
