Time    PM2.5    PM10    O3    CO    SO2    NO2
2015010100  -999  -999  -999  -999  -999  -999
2015010101  -999  -999  -999  -999  -999  -999
2015010102  -999  -999  -999  -999  -999  -999
2015010103  -999  -999  -999  -999  -999  -999
2015010104  -999  -999  -999  -999  -999  -999
2015010105  -999  -999  -999  -999  -999  -999
2015010106  -999  -999  -999  -999  -999  -999
2015010107  -999  -999  -999  -999  -999  -999
2015010108  -999  -999  -999  -999  -999  -999
2015010109  -999  -999  -999  -999  -999  -999
2015010110  -999  -999  -999  -999  -999  -999
2015010111  -999  -999  -999  -999  -999  -999
2015010112  -999  -999  -999  -999  -999  -999
2015010113  -999  -999  -999  -999  -999  -999
2015010114  -999  -999  -999  -999  -999  -999
2015010115  -999  -999  -999  -999  -999  -999
2015010116  -999  -999  -999  -999  -999  -999
2015010117  -999  -999  -999  -999  -999  -999
2015010118  -999  -999  -999  -999  -999  -999
2015010119  -999  -999  -999  -999  -999  -999
2015010120  -999  -999  -999  -999  -999  -999
2015010121  -999  -999  -999  -999  -999  -999
2015010122  -999  -999  -999  -999  -999  -999
2015010123  -999  -999  -999  -999  -999  -999
2015010200  -999  -999  -999  -999  -999  -999
2015010201  47  169  5  0.99  36  95
2015010202  53  202  5  1.03  31  93
2015010203  59  177  5  0.96  35  90
2015010204  60  204  5  1.05  34  92
2015010205  61  227  5  1.1  42  89
2015010206  58  181  5  1.06  34  85
2015010207  61  176  5  1.06  33  85
2015010208  61  204  6  1.17  37  86
2015010209  70  204  6  1.3  43  91
2015010210  72  192  9  1.57  60  83
2015010211  79  185  12  1.58  78  85
2015010212  71  165  14  1.57  82  87
2015010213  64  137  26  1.37  74  77
2015010214  61  137  38  1.09  62  66
2015010215  62  140  39  0.88  51  69
2015010216  61  145  32  0.77  47  73
2015010217  63  142  28  0.69  42  74
2015010218  55  135  14  0.67  38  98
2015010219  59  138  8  0.62  38  104
2015010220  66  150  7  0.68  39  107
2015010221  81  176  7  0.76  41  107
2015010222  81  205  7  0.75  80  106
2015010223  84  207  7  0.93  101  107
2015010300  82  243  7  1.06  100  102
