Time    PM2.5    PM10    O3    CO    SO2    NO2 
2023010100  85.0  132.0  14.0  1.2  9.0  88.0 
2023010101  88.0  127.0  21.0  1.3  10.0  77.0 
2023010102  90.0  119.0  18.0  1.3  10.0  76.0 
2023010103  85.0  117.0  17.0  1.3  9.0  73.0 
2023010104  92.0  119.0  8.0  1.3  8.0  88.0 
2023010105  85.0  114.0  12.0  1.2  9.0  81.0 
2023010106  92.0  114.0  18.0  1.2  9.0  64.0 
2023010107  85.0  114.0  9.0  1.2  9.0  77.0 
2023010108  85.0  117.0  5.0  1.2  8.0  82.0 
2023010109  88.0  127.0  4.0  1.2  9.0  87.0 
2023010110  90.0  124.0  18.0  1.2  9.0  78.0 
2023010111  95.0  127.0  42.0  1.1  10.0  64.0 
2023010112  88.0  122.0  55.0  1.1  10.0  58.0 
2023010113  97.0  136.0  31.0  1.2  10.0  82.0 
2023010114  90.0  134.0  38.0  1.1  10.0  81.0 
2023010115  92.0  134.0  36.0  1.2  10.0  85.0 
2023010116  90.0  134.0  26.0  1.2  10.0  95.0 
2023010117  100.0  132.0  17.0  1.3  12.0  106.0 
2023010118  107.0  151.0  4.0  1.5  12.0  123.0 
2023010119  136.0  197.0  2.0  1.7  12.0  129.0 
2023010120  127.0  180.0  2.0  1.6  14.0  126.0 
2023010121  117.0  163.0  6.0  1.5  16.0  117.0 
2023010122  107.0  149.0  19.0  1.5  14.0  97.0 
2023010123  73.0  97.0  42.0  1.2  10.0  61.0 
2023010200  75.0  95.0  30.0  1.2  8.0  63.0 
2023010201  100.0  124.0  2.0  1.3  10.0  104.0 
2023010202  124.0  158.0  2.0  1.3  10.0  101.0 
2023010203  156.0  190.0  3.0  1.4  10.0  95.0 
2023010204  156.0  195.0  8.0  1.4  9.0  87.0 
2023010205  144.0  188.0  43.0  1.2  6.0  46.0 
2023010206  119.0  158.0  49.0  1.1  5.0  34.0 
2023010207  90.0  122.0  51.0  0.9  5.0  27.0 
2023010208  80.0  110.0  43.0  0.9  5.0  32.0 
2023010209  68.0  102.0  39.0  0.8  5.0  36.0 
2023010210  56.0  78.0  45.0  0.8  5.0  32.0 
2023010211  46.0  78.0  36.0  0.8  6.0  41.0 
2023010212  27.0  61.0  40.0  0.7  6.0  42.0 
2023010213  29.0  66.0  45.0  0.7  7.0  43.0 
2023010214  39.0  63.0  59.0  0.7  6.0  35.0 
2023010215  41.0  68.0  71.0  0.7  5.0  24.0 
2023010216  36.0  68.0  81.0  0.7  5.0  21.0 
2023010217  34.0  56.0  78.0  -999.0  5.0  20.0 
2023010218  31.0  46.0  57.0  -999.0  4.0  30.0 
2023010219  31.0  56.0  43.0  -999.0  -999.0  39.0 
2023010220  34.0  58.0  20.0  0.6  -999.0  59.0 
2023010221  36.0  61.0  12.0  0.7  -999.0  71.0 
2023010222  -999.0  -999.0  14.0  0.7  4.0  -999.0 
2023010223  -999.0  -999.0  -999.0  0.6  4.0  -999.0 
2023010300  31.0  61.0  -999.0  0.6  4.0  61.0 
2023010301  27.0  53.0  9.0  0.6  4.0  55.0 
2023010302  22.0  44.0  23.0  0.6  3.0  41.0 
2023010303  19.0  29.0  36.0  0.6  4.0  28.0 
2023010304  19.0  29.0  42.0  0.5  4.0  22.0 
2023010305  17.0  31.0  40.0  0.5  3.0  24.0 
2023010306  22.0  24.0  31.0  0.5  3.0  26.0 
2023010307  22.0  34.0  14.0  0.5  3.0  40.0 
2023010308  17.0  24.0  17.0  0.6  3.0  39.0 
2023010309  22.0  41.0  31.0  0.7  6.0  35.0 
2023010310  22.0  44.0  57.0  0.8  7.0  24.0 
2023010311  17.0  46.0  -999.0  0.7  7.0  15.0 
