Time    PM2.5    PM10    O3    CO    SO2    NO2 
2025010100  119.0  171.0  4.0  0.7  10.0  75.0 
2025010101  144.0  197.0  4.0  0.7  12.0  75.0 
2025010102  173.0  232.0  9.0  0.7  15.0  66.0 
2025010103  83.0  124.0  23.0  0.6  11.0  52.0 
2025010104  61.0  102.0  26.0  0.5  10.0  45.0 
2025010105  61.0  97.0  22.0  0.6  10.0  48.0 
2025010106  58.0  100.0  18.0  0.6  10.0  50.0 
2025010107  63.0  95.0  13.0  0.7  10.0  55.0 
2025010108  66.0  110.0  19.0  0.7  10.0  54.0 
2025010109  70.0  129.0  31.0  0.8  13.0  52.0 
2025010110  68.0  132.0  41.0  0.8  13.0  49.0 
2025010111  53.0  110.0  57.0  0.7  11.0  41.0 
2025010112  39.0  85.0  70.0  0.6  10.0  34.0 
2025010113  39.0  90.0  75.0  0.6  9.0  32.0 
2025010114  36.0  83.0  80.0  0.6  8.0  30.0 
2025010115  41.0  88.0  88.0  0.5  9.0  30.0 
2025010116  39.0  73.0  97.0  0.5  8.0  24.0 
2025010117  39.0  83.0  100.0  0.5  8.0  23.0 
2025010118  44.0  88.0  93.0  0.6  8.0  26.0 
2025010119  44.0  85.0  88.0  0.5  8.0  24.0 
2025010120  46.0  88.0  83.0  0.5  8.0  25.0 
2025010121  63.0  110.0  75.0  0.6  8.0  29.0 
2025010122  51.0  100.0  65.0  0.6  8.0  34.0 
2025010123  58.0  110.0  62.0  0.6  9.0  33.0 
2025010200  53.0  102.0  55.0  0.6  8.0  36.0 
2025010201  53.0  88.0  23.0  0.6  6.0  59.0 
2025010202  51.0  92.0  -999.0  0.6  7.0  88.0 
2025010203  56.0  102.0  -999.0  0.7  8.0  92.0 
2025010204  58.0  112.0  -999.0  0.8  10.0  96.0 
2025010205  61.0  102.0  -999.0  0.8  9.0  89.0 
2025010206  63.0  100.0  -999.0  0.8  9.0  82.0 
2025010207  63.0  102.0  -999.0  0.9  8.0  82.0 
2025010208  63.0  114.0  -999.0  0.9  9.0  80.0 
2025010209  70.0  136.0  4.0  1.0  12.0  80.0 
2025010210  78.0  136.0  11.0  1.0  13.0  84.0 
2025010211  44.0  88.0  58.0  0.7  11.0  51.0 
2025010212  48.0  97.0  68.0  0.6  12.0  56.0 
2025010213  46.0  85.0  98.0  0.6  12.0  37.0 
2025010214  58.0  90.0  107.0  0.7  11.0  32.0 
2025010215  56.0  97.0  106.0  0.7  10.0  34.0 
2025010216  48.0  80.0  108.0  0.6  9.0  29.0 
2025010217  53.0  85.0  92.0  0.7  9.0  38.0 
2025010218  61.0  100.0  66.0  0.8  10.0  53.0 
2025010219  70.0  107.0  66.0  0.9  10.0  51.0 
2025010220  70.0  105.0  75.0  0.8  9.0  40.0 
2025010221  61.0  100.0  64.0  0.8  8.0  45.0 
2025010222  68.0  110.0  35.0  0.7  8.0  70.0 
2025010223  63.0  114.0  28.0  0.7  7.0  73.0 
2025010300  73.0  124.0  20.0  0.8  8.0  77.0 
2025010301  95.0  141.0  32.0  1.1  7.0  48.0 
2025010302  95.0  146.0  17.0  1.1  6.0  56.0 
2025010303  107.0  153.0  4.0  1.1  5.0  63.0 
2025010304  105.0  144.0  14.0  1.0  6.0  47.0 
2025010305  75.0  114.0  38.0  0.8  5.0  25.0 
2025010306  63.0  110.0  41.0  0.7  5.0  26.0 
2025010307  53.0  97.0  45.0  0.6  5.0  22.0 
2025010308  58.0  92.0  12.0  0.7  5.0  42.0 
2025010309  58.0  92.0  12.0  0.7  5.0  46.0 
2025010310  48.0  78.0  35.0  0.6  6.0  33.0 
2025010311  48.0  83.0  63.0  0.5  7.0  21.0 
2025010312  44.0  92.0  74.0  0.5  8.0  18.0 
2025010313  44.0  92.0  86.0  0.5  9.0  20.0 
2025010314  51.0  97.0  84.0  0.6  9.0  27.0 
2025010315  51.0  95.0  83.0  0.6  9.0  33.0 
2025010316  53.0  97.0  89.0  0.6  8.0  30.0 
2025010317  53.0  95.0  82.0  0.6  8.0  36.0 
2025010318  58.0  97.0  74.0  0.6  8.0  39.0 
2025010319  63.0  95.0  67.0  0.6  8.0  41.0 
2025010320  66.0  102.0  63.0  0.7  7.0  41.0 
2025010321  66.0  105.0  57.0  0.7  7.0  40.0 
2025010322  70.0  105.0  52.0  0.7  7.0  41.0 
2025010323  66.0  95.0  48.0  0.6  6.0  40.0 
2025010400  70.0  105.0  31.0  0.7  5.0  49.0 
2025010401  61.0  90.0  38.0  0.6  6.0  38.0 
2025010402  53.0  78.0  29.0  0.6  6.0  43.0 
2025010403  44.0  70.0  29.0  0.7  6.0  41.0 
2025010404  48.0  90.0  29.0  0.7  7.0  39.0 
2025010405  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2025010406  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2025010407  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2025010408  46.0  61.0  29.0  0.6  6.0  35.0 
2025010409  44.0  63.0  34.0  0.6  7.0  33.0 
2025010410  44.0  75.0  44.0  0.6  8.0  30.0 
2025010411  44.0  78.0  57.0  0.6  8.0  27.0 
2025010412  51.0  75.0  66.0  0.6  8.0  28.0 
2025010413  53.0  90.0  72.0  0.6  8.0  29.0 
2025010414  53.0  85.0  75.0  0.6  8.0  29.0 
2025010415  53.0  90.0  87.0  0.6  8.0  27.0 
2025010416  53.0  85.0  86.0  0.6  8.0  29.0 
2025010417  58.0  85.0  77.0  0.5  8.0  36.0 
2025010418  61.0  83.0  66.0  0.6  8.0  41.0 
2025010419  58.0  92.0  53.0  0.6  7.0  48.0 
2025010420  61.0  83.0  59.0  0.6  5.0  40.0 
2025010421  61.0  88.0  52.0  0.7  7.0  45.0 
2025010422  70.0  105.0  22.0  0.7  7.0  74.0 
2025010423  66.0  100.0  12.0  0.7  7.0  86.0 
2025010500  70.0  102.0  18.0  0.8  6.0  76.0 
2025010501  73.0  110.0  6.0  0.8  6.0  84.0 
2025010502  85.0  119.0  13.0  0.8  7.0  80.0 
2025010503  102.0  141.0  41.0  0.9  8.0  45.0 
2025010504  107.0  144.0  48.0  0.9  7.0  40.0 
2025010505  134.0  166.0  54.0  1.0  7.0  32.0 
2025010506  129.0  175.0  53.0  1.0  7.0  32.0 
2025010507  136.0  185.0  44.0  1.0  8.0  39.0 
2025010508  141.0  183.0  34.0  1.1  8.0  49.0 
2025010509  122.0  166.0  30.0  1.2  10.0  58.0 
2025010510  97.0  132.0  58.0  0.9  10.0  42.0 
