Time    PM2.5    PM10    O3    CO    SO2    NO2 
2022010100  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2022010101  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2022010102  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2022010103  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2022010104  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2022010105  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2022010106  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2022010107  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2022010108  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2022010109  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2022010110  -999.0  -999.0  -999.0  -999.0  -999.0  -999.0 
2022010111  22.0  46.0  42.0  0.7  7.0  38.0 
2022010112  24.0  48.0  44.0  0.7  8.0  37.0 
2022010113  27.0  51.0  48.0  0.7  8.0  37.0 
2022010114  31.0  61.0  46.0  0.7  8.0  43.0 
2022010115  36.0  53.0  33.0  0.8  8.0  56.0 
2022010116  34.0  68.0  28.0  0.8  8.0  60.0 
2022010117  36.0  75.0  18.0  0.9  9.0  69.0 
2022010118  39.0  63.0  4.0  0.9  7.0  82.0 
2022010119  44.0  88.0  2.0  1.0  6.0  84.0 
2022010120  48.0  80.0  3.0  1.1  6.0  82.0 
2022010121  46.0  102.0  2.0  1.2  6.0  80.0 
2022010122  46.0  102.0  2.0  1.2  6.0  76.0 
2022010123  53.0  102.0  2.0  1.4  7.0  73.0 
2022010200  51.0  110.0  2.0  1.4  7.0  72.0 
2022010201  53.0  107.0  2.0  1.3  7.0  64.0 
2022010202  56.0  95.0  2.0  1.3  7.0  62.0 
2022010203  53.0  100.0  2.0  1.3  6.0  59.0 
2022010204  61.0  107.0  2.0  1.5  7.0  54.0 
2022010205  58.0  107.0  2.0  1.6  8.0  52.0 
2022010206  61.0  105.0  2.0  1.5  7.0  49.0 
2022010207  58.0  100.0  2.0  1.4  9.0  49.0 
2022010208  58.0  107.0  2.0  1.6  8.0  51.0 
2022010209  73.0  112.0  3.0  1.5  10.0  60.0 
2022010210  83.0  122.0  8.0  1.3  14.0  72.0 
2022010211  73.0  146.0  31.0  1.2  16.0  68.0 
2022010212  66.0  124.0  76.0  1.1  16.0  41.0 
2022010213  66.0  97.0  91.0  1.1  15.0  39.0 
2022010214  56.0  92.0  98.0  1.0  14.0  42.0 
2022010215  66.0  100.0  98.0  1.0  15.0  49.0 
2022010216  73.0  102.0  97.0  1.1  16.0  51.0 
2022010217  80.0  110.0  90.0  1.1  15.0  57.0 
2022010218  80.0  122.0  78.0  1.1  12.0  62.0 
2022010219  88.0  132.0  43.0  1.1  10.0  85.0 
2022010220  92.0  139.0  18.0  1.1  10.0  107.0 
2022010221  97.0  144.0  17.0  1.2  11.0  103.0 
2022010222  90.0  156.0  26.0  1.1  9.0  88.0 
2022010223  78.0  134.0  44.0  1.1  8.0  50.0 
2022010300  75.0  127.0  46.0  1.2  9.0  45.0 
2022010301  75.0  114.0  50.0  1.5  10.0  38.0 
2022010302  80.0  124.0  46.0  1.4  9.0  38.0 
2022010303  83.0  127.0  38.0  1.5  8.0  43.0 
2022010304  80.0  119.0  34.0  1.4  8.0  45.0 
2022010305  80.0  122.0  32.0  1.3  8.0  45.0 
