Time    PM2.5    PM10    O3    CO    SO2    NO2
2019010100  -999  -999  19  0.5  7  44
2019010101  52  -999  33  0.5  5  26
2019010102  48  61  32  0.5  7  26
2019010103  51  55  30  0.5  6  26
2019010104  45  70  25  0.5  8  30
2019010105  51  62  23  0.6  6  31
2019010106  52  60  25  0.6  7  28
2019010107  47  56  24  0.5  6  32
2019010108  44  55  22  0.5  8  35
2019010109  41  58  21  0.5  8  33
2019010110  38  63  32  0.4  10  26
2019010111  51  57  39  0.5  9  26
2019010112  48  56  50  0.5  12  23
2019010113  48  61  53  0.5  8  21
2019010114  47  59  52  0.4  9  18
2019010115  46  59  69  0.4  9  14
2019010116  40  48  53  0.5  9  19
2019010117  42  51  48  0.5  10  24
2019010118  49  73  48  0.5  7  30
2019010119  42  63  30  0.5  6  45
2019010120  44  57  25  0.6  6  50
2019010121  45  67  22  0.6  6  54
2019010122  51  92  9  0.7  6  82
2019010123  53  82  5  0.7  8  83
2019010200  55  82  5  0.7  7  85
2019010201  60  90  10  0.7  8  66
2019010202  69  92  17  0.8  7  49
2019010203  70  101  17  0.8  7  50
2019010204  78  110  7  0.8  8  67
2019010205  81  127  4  0.8  8  70
2019010206  87  126  5  0.8  9  67
2019010207  92  124  5  0.9  10  67
2019010208  93  130  6  0.9  13  62
2019010209  98  130  8  1  13  61
2019010210  100  135  10  1  14  60
2019010211  103  143  16  1  14  54
2019010212  89  132  21  1  17  50
2019010213  89  117  26  0.9  15  46
2019010214  84  122  24  0.9  16  54
2019010215  84  130  24  0.9  17  57
2019010216  79  137  24  1.1  19  62
2019010217  90  138  20  1.3  24  69
2019010218  91  138  14  1.2  23  76
2019010219  103  151  13  1.2  18  72
2019010220  109  152  10  1.2  16  74
2019010221  112  154  12  1.1  14  68
2019010222  118  156  11  1.1  13  65
2019010223  121  157  10  1.1  15  65
2019010300  119  157  11  1.1  15  60
2019010301  127  156  12  1.1  13  56
2019010302  125  161  12  1.1  13  49
2019010303  127  161  6  1.1  10  65
2019010304  128  159  7  1.1  11  51
2019010305  126  153  13  1.1  15  43
2019010306  127  156  16  1.1  16  40
2019010307  126  141  15  1  11  42
2019010308  118  141  13  1  13  47
2019010309  115  133  18  1.1  15  41
2019010310  105  120  22  1  12  36
2019010311  96  119  23  1.2  16  39
2019010312  95  117  24  1.2  14  38
2019010313  95  112  28  1.1  10  38
2019010314  93  125  23  1.1  9  46
2019010315  100  121  20  1.1  8  54
2019010316  101  121  20  1  7  54
2019010317  87  118  13  1  12  66
2019010318  89  124  10  1  8  74
2019010319  87  122  8  1.1  8  77
2019010320  88  123  6  1.1  8  77
2019010321  83  112  8  0.9  6  71
2019010322  78  110  6  0.9  10  74
2019010323  73  103  6  0.9  8  74
2019010400  70  103  5  1  9  79
2019010401  67  83  5  1  8  79
2019010402  68  88  5  1  7  75
2019010403  65  92  4  1  9  71
2019010404  73  -999  4  1  11  70
2019010405  70  79  4  1  2  66
2019010406  77  79  4  1  3  64
2019010407  80  -999  4  0.9  3  59
2019010408  83  -999  4  0.9  3  53
2019010409  80  -999  5  0.8  4  50
2019010410  72  -999  5  0.8  10  50
2019010411  69  -999  6  0.7  13  52
2019010412  76  -999  8  0.7  12  51
2019010413  72  76  7  0.8  6  56
2019010414  81  95  7  1  3  58
2019010415  86  95  14  0.8  5  48
2019010416  75  -999  13  0.7  9  43
2019010417  47  -999  9  0.6  9  46
2019010418  29  -999  7  0.6  8  50
2019010419  30  -999  5  0.7  2  55
2019010420  31  -999  5  0.7  10  55
2019010421  26  -999  6  0.7  10  52
2019010422  35  -999  6  0.7  5  50
2019010423  29  31  10  0.7  3  48
2019010500  26  -999  14  0.7  3  42
2019010501  26  -999  19  0.9  3  36
2019010502  38  40  10  1.3  3  46
2019010503  55  -999  8  1.5  3  47
2019010504  52  -999  12  1.5  3  43
2019010505  48  49  14  1.6  3  37
2019010506  47  -999  13  1.6  4  37
2019010507  41  -999  10  1.5  9  40
2019010508  45  -999  12  1.6  3  40
2019010509  50  -999  10  1.6  4  46
2019010510  62  86  12  1.6  1  44
2019010511  89  105  15  1.6  3  43
2019010512  107  114  18  1.6  3  44
2019010513  120  -999  21  1.6  3  43
2019010514  115  -999  21  1.7  3  43
2019010515  108  -999  22  1.5  3  40
2019010516  118  -999  -999  1.5  3  51
2019010517  96  -999  14  1.4  1  47
2019010518  58  -999  13  1.4  3  49
2019010519  57  -999  12  1.3  8  47
2019010520  45  50  7  1.3  13  54
2019010521  49  50  5  1.3  11  58
