Time    PM2.5    PM10    O3    CO    SO2    NO2
2016010100  125  204  25  1.36  26  109
2016010101  127  187  25  1.3  21  102
2016010102  122  181  26  1.2  21  95
2016010103  126  178  26  1.17  21  90
2016010104  134  178  26  1.36  27  96
2016010105  132  183  26  1.51  34  97
2016010106  132  185  26  1.58  31  93
2016010107  127  182  27  1.61  31  86
2016010108  114  160  30  1.53  31  76
2016010109  102  156  33  1.51  25  71
2016010110  110  155  40  1.39  22  59
2016010111  112  149  46  1.32  20  54
2016010112  111  152  51  1.33  20  54
2016010113  114  159  57  1.28  18  51
2016010114  109  154  58  1.3  14  53
2016010115  109  155  62  1.11  15  43
2016010116  96  147  66  1.02  17  41
2016010117  96  141  66  1.3  17  43
2016010118  84  127  58  1.18  16  58
2016010119  81  123  54  1.35  14  58
2016010120  88  130  54  1.51  16  64
2016010121  114  164  49  1.47  19  72
2016010122  136  194  29  1.43  21  121
2016010123  147  211  27  1.3  25  125
2016010200  143  219  27  1.29  23  119
2016010201  150  230  32  1.25  26  88
2016010202  155  228  35  1.23  26  74
2016010203  159  225  36  1.24  27  70
2016010204  168  228  28  1.27  29  92
2016010205  173  235  27  1.26  27  94
2016010206  164  235  27  1.3  27  91
2016010207  166  233  27  1.57  38  92
2016010208  162  224  29  1.6  37  88
2016010209  162  231  29  1.9  45  91
2016010210  168  241  31  2.36  68  94
2016010211  157  239  35  2.41  66  92
2016010212  140  215  37  1.88  46  96
2016010213  122  192  38  2.2  46  101
2016010214  106  156  47  2.02  41  84
2016010215  81  143  51  1.81  42  78
2016010216  81  142  54  1.41  31  72
2016010217  74  126  47  1.56  33  87
2016010218  71  122  30  1.71  35  127
2016010219  75  139  28  2.06  31  134
2016010220  89  169  28  2.15  33  134
2016010221  89  186  28  2.49  28  136
2016010222  109  216  28  2.56  26  139
2016010223  118  257  28  2.55  22  135
2016010300  116  246  28  2.5  20  125
2016010301  122  227  28  1.94  26  114
2016010302  116  204  28  1.65  23  103
2016010303  116  181  29  1.51  25  100
2016010304  114  176  28  1.57  42  98
2016010305  109  165  30  1.38  42  89
2016010306  98  143  29  1.2  31  93
2016010307  103  144  28  1.32  25  91
2016010308  102  148  29  1.34  30  85
2016010309  96  137  30  1.4  32  80
2016010310  102  146  34  1.81  37  74
2016010311  103  143  37  2.38  44  75
2016010312  93  138  43  2.06  35  70
2016010313  85  117  57  1.43  21  50
2016010314  66  102  58  1.25  24  55
2016010315  69  105  57  1.31  20  60
2016010316  70  111  51  1.74  36  77
2016010317  72  118  46  1.7  31  87
2016010318  70  123  35  1.75  31  112
2016010319  80  135  28  1.88  22  133
2016010320  90  154  28  2.29  19  132
2016010321  98  192  29  2.44  16  126
2016010322  110  195  29  1.82  19  109
2016010323  100  195  28  1.93  17  114
2016010400  110  197  29  1.69  17  104
2016010401  103  183  28  1.69  13  103
2016010402  100  180  28  1.84  15  98
2016010403  100  176  28  1.78  16  98
2016010404  103  172  28  1.71  25  112
2016010405  113  188  28  1.7  32  108
2016010406  119  203  28  1.75  30  104
2016010407  141  220  26  1.68  37  104
2016010408  161  222  28  1.63  37  94
2016010409  177  231  30  1.73  35  84
2016010410  192  258  29  1.79  35  82
2016010411  219  285  31  1.99  27  72
2016010412  232  296  35  2  21  67
2016010413  233  292  42  1.95  22  65
2016010414  232  296  46  2  21  65
2016010415  238  304  47  2.04  29  58
2016010416  240  303  48  1.98  22  48
2016010417  246  310  45  2.03  11  54
2016010418  237  306  49  1.78  9  52
2016010419  200  261  52  1.65  17  48
2016010420  165  224  53  1.59  8  46
2016010421  151  204  54  1.58  9  45
2016010422  142  190  55  1.45  11  36
2016010423  124  158  56  1.19  13  27
2016010500  81  107  58  1.13  14  25
2016010501  53  66  58  1.16  7  29
2016010502  36  45  60  1.03  11  24
2016010503  26  37  57  0.95  11  26
2016010504  18  30  55  0.63  10  27
2016010505  2  22  55  0.5  3  26
2016010506  2  13  54  0.5  12  28
2016010507  -999  13  54  0.48  5  23
2016010508  5  14  52  0.49  8  28
2016010509  8  13  50  0.5  5  34
2016010510  8  19  45  0.56  10  48
2016010511  10  31  50  0.57  8  39
2016010512  23  40  45  0.58  9  56
2016010513  24  39  48  0.6  8  49
2016010514  21  40  48  0.6  13  53
2016010515  25  41  55  0.55  5  41
2016010516  29  46  55  0.53  8  38
2016010517  23  43  53  0.51  8  37
2016010518  18  52  50  0.54  8  43
2016010519  25  49  54  0.6  7  33
2016010520  21  44  48  0.77  5  37
2016010521  18  48  51  0.59  5  29
2016010522  18  44  48  0.51  5  35
2016010523  18  42  52  0.49  4  30
2016010600  10  40  52  0.49  8  29
2016010601  14  35  52  0.48  5  29
2016010602  10  39  49  0.5  11  36
2016010603  18  44  50  0.5  7  33
2016010604  17  49  49  0.51  10  32
2016010605  25  48  48  0.53  13  31
2016010606  22  48  44  0.51  11  38
2016010607  30  60  41  0.53  16  46
2016010608  28  66  32  0.63  15  69
2016010609  33  73  39  0.59  12  55
2016010610  29  62  39  0.61  15  55
2016010611  27  58  39  0.62  16  56
2016010612  35  66  42  0.64  20  51
2016010613  33  69  43  0.66  18  53
2016010614  34  72  45  0.68  18  48
2016010615  37  77  42  0.72  22  57
2016010616  44  80  39  0.77  16  66
2016010617  47  87  64  0.76  18  67
2016010618  48  89  33  0.68  18  81
2016010619  51  95  29  0.72  10  83
2016010620  47  92  36  0.65  8  55
